W TT
14054.1 9.19911e-05
14059.1 9.63816e-05
14064.2 0.000100885
14069.2 0.000105478
14074.3 0.000110141
14079.3 0.000114874
14084.4 0.000119677
14089.4 0.000124553
14094.4 0.000129501
14099.5 0.000134521
14104.5 0.000139479
14109.6 0.000144487
14114.6 0.000149574
14119.7 0.00015474
14124.7 0.000159988
14129.8 0.000165319
14134.8 0.000170738
14139.9 0.000176252
14144.9 0.00018211
14150 0.000188069
14155 0.000194118
14160.1 0.000200257
14165.1 0.000206489
14170.2 0.000212812
14175.2 0.000219226
14180.2 0.000225715
14185.3 0.000231892
14190.3 0.00023818
14195.4 0.000244575
14200.4 0.000251075
14205.5 0.00025768
14210.5 0.00026439
14215.6 0.000271205
14220.6 0.000278119
14225.7 0.000284993
14230.7 0.000291987
14235.8 0.000299097
14240.8 0.000306324
14245.9 0.000313668
14250.9 0.00032113
14255.9 0.000328709
14261 0.000336398
14266 0.000344031
14271.1 0.000351799
14276.1 0.0003597
14281.2 0.000367734
14286.2 0.000375904
14291.3 0.000384211
14296.3 0.00039266
14301.4 0.000401264
14306.4 0.000410283
14311.5 0.000419443
14316.5 0.000428732
14321.6 0.000438153
14326.6 0.000447704
14331.7 0.000457382
14336.7 0.000467175
14341.7 0.000477045
14346.8 0.000486165
14351.8 0.000495306
14356.9 0.000504622
14361.9 0.000514099
14367 0.000523729
14372 0.000533509
14377.1 0.000543438
14382.1 0.00055352
14387.2 0.000563958
14392.2 0.000574611
14397.3 0.000585372
14402.3 0.000596238
14407.4 0.000607201
14412.4 0.000618246
14417.4 0.000629343
14422.5 0.00064043
14427.5 0.000650227
14432.6 0.000658788
14437.6 0.000667599
14442.7 0.00067658
14447.7 0.000685704
14452.8 0.000694962
14457.8 0.00070436
14462.9 0.000713942
14467.9 0.000724494
14473 0.000738132
14478 0.000751477
14483.1 0.000764669
14488.1 0.000777719
14493.2 0.000790608
14498.2 0.000803295
14503.2 0.000815699
14508.3 0.000827595
14513.3 0.000835024
14518.4 0.000842041
14523.4 0.000849056
14528.5 0.000855966
14533.5 0.000862715
14538.6 0.000869271
14543.6 0.000875623
14548.7 0.000881812
14553.7 0.000889752
