W E1 E2
13365.9 -0.00106096 0.000663888
13370.9 -0.00106592 0.000662706
13375.9 -0.00107091 0.000661506
13380.9 -0.00107592 0.000660288
13385.9 -0.00108096 0.000659051
13391 -0.00108603 0.000657795
13396 -0.00109112 0.000656519
13401 -0.00109624 0.000655224
13406 -0.00110138 0.00065391
13411 -0.00110656 0.000652575
13416.1 -0.00111176 0.00065122
13421.1 -0.00111699 0.000649845
13426.1 -0.00112224 0.000648449
13431.1 -0.00112753 0.000647032
13436.2 -0.00113284 0.000645594
13441.2 -0.00113818 0.000644134
13446.2 -0.00114355 0.000642653
13451.2 -0.00114896 0.00064115
13456.2 -0.00115439 0.000639624
13461.3 -0.00115985 0.000638075
13466.3 -0.00116534 0.000636504
13471.3 -0.00117086 0.000634909
13476.3 -0.00117641 0.000633291
13481.3 -0.00118199 0.000631649
13486.4 -0.00118761 0.000629983
13491.4 -0.00119325 0.000628292
13496.4 -0.00119893 0.000626577
13501.4 -0.00120464 0.000624836
13506.5 -0.00121038 0.00062307
13511.5 -0.00121616 0.000621278
13516.5 -0.00122196 0.000619459
13521.5 -0.00122781 0.000617614
13526.5 -0.00123368 0.000615743
13531.6 -0.00123959 0.000613843
13536.6 -0.00124553 0.000611917
13541.6 -0.00125151 0.000609962
13546.6 -0.00125753 0.000607978
13551.6 -0.00126357 0.000605966
13556.7 -0.00126966 0.000603925
13561.7 -0.00127578 0.000601853
13566.7 -0.00128194 0.000599752
13571.7 -0.00128813 0.00059762
13576.8 -0.00129436 0.000595457
13581.8 -0.00130063 0.000593262
13586.8 -0.00130694 0.000591036
13591.8 -0.00131328 0.000588777
13596.8 -0.00131966 0.000586485
13601.9 -0.00132608 0.00058416
13606.9 -0.00133255 0.000581801
13611.9 -0.00133905 0.000579408
13616.9 -0.00134559 0.000576979
13622 -0.00135217 0.000574515
13627 -0.00135879 0.000572016
13632 -0.00136546 0.000569479
13637 -0.00137217 0.000566906
13642 -0.00137892 0.000564294
13647.1 -0.00138571 0.000561645
13652.1 -0.00139254 0.000558957
