W E1 E2
15574.4 2.47176 0.848549
15579.3 2.47489 0.842573
15584.3 2.47852 0.836767
15589.2 2.48276 0.831126
15594.2 2.48834 0.825736
15599.2 2.49385 0.82281
15604.1 2.49856 0.820042
15609.1 2.50304 0.817428
15614 2.50742 0.814964
15619 2.51177 0.812647
15623.9 2.51615 0.810473
15628.9 2.52063 0.808439
15633.9 2.5253 0.806539
15638.8 2.5304 0.80477
15643.8 2.53706 0.803773
15648.7 2.54247 0.805379
15653.7 2.54672 0.807103
15658.6 2.55029 0.808938
15663.6 2.5533 0.81088
15668.6 2.55579 0.812922
15673.5 2.55775 0.81506
15678.5 2.55914 0.817287
15683.4 2.55981 0.819598
15688.4 2.5594 0.821985
15693.3 2.55618 0.822894
15698.3 2.55504 0.8205
15703.3 2.55525 0.818161
15708.2 2.5562 0.815871
15713.2 2.55773 0.813623
15718.1 2.55979 0.811408
15723.1 2.56241 0.809219
15728 2.56569 0.807047
15733 2.56986 0.804885
15738 2.57557 0.802723
15742.9 2.5855 0.803367
15747.9 2.59172 0.808969
15752.8 2.59575 0.814546
15757.8 2.59851 0.820088
15762.7 2.60033 0.825586
15767.7 2.60135 0.83103
15772.7 2.60164 0.836413
15777.6 2.60123 0.841724
15782.6 2.60007 0.846954
15787.5 2.59796 0.852095
15792.5 2.5939 0.856108
15797.5 2.59093 0.85806
15802.4 2.58856 0.859895
15807.4 2.58644 0.861606
15812.3 2.5845 0.863184
15817.3 2.58273 0.864621
15822.2 2.58119 0.865909
15827.2 2.57997 0.867043
15832.2 2.57926 0.868013
15837.1 2.57955 0.868815
15842.1 2.58322 0.871186
15847 2.584 0.878215
15852 2.58255 0.885059
15856.9 2.57976 0.891713
15861.9 2.57591 0.898173
15866.9 2.57109 0.904437
15871.8 2.56533 0.910502
15876.8 2.55855 0.916365
15881.7 2.55056 0.922025
15886.7 2.54086 0.927482
15891.6 2.5265 0.931705
15896.6 2.51407 0.928252
15901.6 2.50452 0.924597
15906.5 2.49628 0.920742
15911.5 2.48896 0.916688
15916.4 2.48239 0.912439
15921.4 2.47653 0.907998
15926.3 2.47137 0.903369
15931.3 2.46701 0.898557
15936.3 2.46372 0.893566
15941.2 2.46264 0.888402
15946.2 2.46275 0.888318
15951.1 2.45995 0.888575
15956.1 2.45616 0.888677
15961 2.4517 0.888631
15966 2.44671 0.888445
15971 2.44121 0.888125
15975.9 2.43518 0.887679
15980.9 2.42851 0.887115
15985.8 2.42095 0.88644
15990.8 2.41172 0.885662
15995.8 2.39953 0.88055
16000.7 2.39115 0.872956
16005.7 2.38428 0.865283
16010.6 2.37838 0.857538
16015.6 2.37324 0.84973
16020.5 2.36876 0.841866
16025.5 2.36488 0.833954
16030.5 2.3616 0.826001
16035.4 2.35895 0.818014
16040.4 2.35708 0.81
16045.3 2.35681 0.802662
16050.3 2.35584 0.796939
16055.2 2.35447 0.791209
16060.2 2.35299 0.785478
16065.2 2.35148 0.779753
16070.1 2.34999 0.774039
16075.1 2.3485 0.768341
16080 2.34702 0.762665
16085 2.34549 0.757015
16089.9 2.34382 0.751397
16094.9 2.34166 0.745815
16099.9 2.33925 0.738589
16104.8 2.33801 0.731207
16109.8 2.33727 0.723872
16114.7 2.33693 0.716588
16119.7 2.33692 0.709359
16124.6 2.33723 0.702188
16129.6 2.33784 0.695076
16134.6 2.33876 0.688027
16139.5 2.34002 0.681044
16144.5 2.3417 0.674128
16149.4 2.34414 0.667735
16154.4 2.34622 0.662039
16159.3 2.34819 0.656416
16164.3 2.35017 0.650867
16169.3 2.35219 0.645394
16174.2 2.35427 0.639998
16179.2 2.35641 0.63468
16184.1 2.35863 0.629441
16189.1 2.36092 0.624281
16194.1 2.36328 0.619201
16199 2.36566 0.614202
16204 2.3681 0.609131
16208.9 2.37072 0.604121
16213.9 2.37347 0.599192
16218.8 2.37634 0.594346
16223.8 2.37932 0.589581
16228.8 2.38242 0.584898
16233.7 2.38563 0.580298
16238.7 2.38897 0.575779
16243.6 2.39246 0.571342
16248.6 2.39614 0.566986
16253.5 2.40023 0.562875
16258.5 2.40415 0.559287
16263.5 2.40797 0.555779
16268.4 2.41177 0.552351
16273.4 2.41558 0.549003
16278.3 2.41941 0.545734
16283.3 2.42329 0.542544
16288.2 2.42721 0.539431
16293.2 2.4312 0.536397
16298.2 2.43528 0.53344
16303.1 2.4395 0.530559
16308.1 2.44398 0.528036
16313 2.44822 0.525784
16318 2.45239 0.523606
16322.9 2.45653 0.521503
16327.9 2.46067 0.519473
16332.9 2.46481 0.517517
16337.8 2.46898 0.515632
16342.8 2.47319 0.51382
16347.7 2.47746 0.512079
16352.7 2.48184 0.510408
16357.6 2.48647 0.508808
16362.6 2.49132 0.508003
16367.6 2.49568 0.507402
16372.5 2.49986 0.506869
16377.5 2.5039 0.506404
16382.4 2.50784 0.506006
16387.4 2.51168 0.505675
16392.4 2.51543 0.50541
16397.3 2.51909 0.505211
16402.3 2.52263 0.505076
16407.2 2.52603 0.505007
16412.2 2.5291 0.504985
16417.1 2.53219 0.504378
16422.1 2.53553 0.503834
16427.1 2.53897 0.503353
16432 2.54247 0.502934
16437 2.54602 0.502577
16441.9 2.54961 0.502282
16446.9 2.55326 0.502047
16451.8 2.55696 0.501873
16456.8 2.56075 0.50176
16461.8 2.56467 0.501707
16466.7 2.56907 0.501838
16471.7 2.57319 0.502839
16476.6 2.57695 0.503899
16481.6 2.58053 0.505017
16486.5 2.58396 0.506194
16491.5 2.58725 0.507429
16496.5 2.59042 0.508722
16501.4 2.59347 0.510072
16506.4 2.59637 0.51148
16511.3 2.5991 0.512945
16516.3 2.6016 0.514466
16521.2 2.60346 0.515858
16526.2 2.60563 0.516413
16531.2 2.60811 0.517023
16536.1 2.61073 0.51769
16541.1 2.61344 0.518413
16546 2.61621 0.519192
16551 2.61905 0.520026
