W N1 N2
13276.9 -0.000275397 0.000196539
13281.9 -0.000276723 0.000196333
13287 -0.000278021 0.000196074
13292 -0.000279312 0.000195802
13297 -0.000280605 0.000195521
13302.1 -0.0002819 0.000195234
13307.1 -0.000283202 0.000194943
13312.2 -0.000284516 0.000194651
13317.2 -0.000285859 0.000194333
13322.3 -0.000287192 0.000193989
13327.3 -0.000288521 0.000193634
13332.4 -0.000289847 0.000193269
13337.4 -0.000291171 0.000192892
13342.5 -0.000292489 0.000192503
13347.5 -0.000293795 0.000192096
13352.6 -0.000295055 0.000191716
13357.6 -0.000296345 0.000191363
13362.7 -0.00029765 0.000191012
13367.7 -0.000298968 0.000190661
13372.7 -0.000300298 0.000190308
13377.8 -0.000301638 0.000189953
13382.8 -0.000302991 0.000189597
13387.9 -0.000304362 0.000189232
13392.9 -0.000305738 0.000188856
13398 -0.000307121 0.000188475
13403 -0.000308511 0.000188089
13408.1 -0.000309911 0.000187699
13413.1 -0.00031132 0.000187306
13418.2 -0.000312743 0.000186912
13423.2 -0.0003142 0.000186499
13428.3 -0.00031565 0.000186055
13433.3 -0.000317098 0.000185599
13438.4 -0.000318544 0.000185132
13443.4 -0.000319988 0.000184653
13448.4 -0.000321427 0.000184161
13453.5 -0.000322851 0.000183649
13458.5 -0.000324196 0.000183152
13463.6 -0.000325577 0.000182743
13468.6 -0.000326997 0.000182347
13473.7 -0.000328448 0.000181959
13478.7 -0.000329929 0.000181578
13483.8 -0.000331444 0.000181205
13488.8 -0.000333004 0.000180848
13493.9 -0.000334698 0.000180491
13498.9 -0.000336401 0.000179969
13504 -0.000338067 0.000179413
13509 -0.000339717 0.000178835
13514.1 -0.000341358 0.000178241
13519.1 -0.000342993 0.00017763
13524.2 -0.000344623 0.000177004
13529.2 -0.000346245 0.000176363
13534.2 -0.000347863 0.000175718
13539.3 -0.000349482 0.000175063
13544.3 -0.000351101 0.000174394
13549.4 -0.000352717 0.000173712
13554.4 -0.000354327 0.000173014
13559.5 -0.000355925 0.000172298
13564.5 -0.000357491 0.000171554
13569.6 -0.000358969 0.000170886
13574.6 -0.000360518 0.000170274
13579.7 -0.000362102 0.000169668
13584.7 -0.000363714 0.000169063
13589.8 -0.000365353 0.000168458
13594.8 -0.000367019 0.000167854
13599.9 -0.00036872 0.000167254
13604.9 -0.000370504 0.000166624
13609.9 -0.000372274 0.000165918
13615 -0.000374035 0.000165194
13620 -0.000375794 0.000164454
13625.1 -0.000377554 0.000163702
13630.1 -0.000379316 0.000162935
13635.2 -0.000381077 0.000162154
13640.2 -0.000382821 0.000161358
13645.3 -0.000384569 0.000160592
13650.3 -0.00038634 0.000159821
13655.4 -0.000388126 0.000159042
13660.4 -0.000389925 0.000158254
13665.5 -0.000391736 0.000157456
13670.5 -0.000393558 0.000156648
13675.6 -0.000395386 0.000155827
13680.6 -0.000397209 0.000155016
13685.7 -0.000399063 0.00015421
13690.7 -0.000400941 0.000153398
13695.7 -0.000402842 0.00015258
13700.8 -0.000404768 0.000151755
13705.8 -0.000406724 0.000150926
13710.9 -0.000408722 0.000150096
13715.9 -0.000410836 0.000149233
13721 -0.000412929 0.000148228
13726 -0.000414989 0.000147191
13731.1 -0.000417032 0.000146129
13736.1 -0.000419064 0.000145044
13741.2 -0.000421083 0.000143936
13746.2 -0.000423084 0.000142803
13751.3 -0.000425039 0.000141635
13756.3 -0.000426919 0.000140575
13761.4 -0.000428885 0.000139549
13766.4 -0.000430893 0.000138518
13771.4 -0.000432933 0.00013748
13776.5 -0.000435006 0.000136433
13781.5 -0.000437113 0.000135378
13786.6 -0.000439265 0.000134319
13791.6 -0.000441529 0.000133215
13796.7 -0.000443767 0.000131981
13801.7 -0.000445978 0.000130717
13806.8 -0.000448177 0.000129427
13811.8 -0.000450367 0.000128112
13816.9 -0.000452546 0.000126773
13821.9 -0.00045471 0.000125406
13827 -0.000456828 0.000124004
13832 -0.000458866 0.000122712
13837.1 -0.000461004 0.00012146
13842.1 -0.00046319 0.000120199
13847.2 -0.000465415 0.000118926
13852.2 -0.000467674 0.00011764
13857.2 -0.00046997 0.000116339
13862.3 -0.000472306 0.000115025
13867.3 -0.000474718 0.000113686
13872.4 -0.00047714 0.000112254
13877.4 -0.00047956 0.000110796
13882.5 -0.000481991 0.000109314
13887.5 -0.000484439 0.000107809
13892.6 -0.000486906 0.000106282
13897.6 -0.000489399 0.000104732
13902.7 -0.000491929 0.000103164
13907.7 -0.000494533 0.000101519
13912.8 -0.000497102 9.97942e-05
13917.8 -0.000499661 9.80367e-05
13922.9 -0.000502217 9.6248e-05
13927.9 -0.000504772 9.44284e-05
13932.9 -0.000507326 9.25774e-05
13938 -0.000509875 9.0694e-05
13943 -0.000512402 8.87743e-05
13948.1 -0.000514908 8.69068e-05
13953.1 -0.000517472 8.50247e-05
13958.2 -0.000520065 8.31152e-05
13963.2 -0.000522681 8.11764e-05
13968.3 -0.000525319 7.92073e-05
13973.3 -0.000527975 7.72068e-05
13978.4 -0.000530649 7.51739e-05
13983.4 -0.000533329 7.31115e-05
13988.5 -0.000536036 7.10367e-05
13993.5 -0.000538772 6.89292e-05
13998.6 -0.000541534 6.67876e-05
14003.6 -0.00054432 6.46109e-05
14008.7 -0.00054713 6.23982e-05
14013.7 -0.000549966 6.01488e-05
14018.7 -0.000552829 5.78619e-05
14023.8 -0.00055573 5.55257e-05
14028.8 -0.000558642 5.31332e-05
14033.9 -0.000561568 5.06987e-05
14038.9 -0.000564513 4.82217e-05
14044 -0.000567478 4.57014e-05
14049 -0.000570464 4.3137e-05
14054.1 -0.000573473 4.05274e-05
14059.1 -0.000576509 3.78721e-05
14064.2 -0.000579581 3.51471e-05
14069.2 -0.000582652 3.23585e-05
14074.3 -0.000585732 2.95191e-05
14079.3 -0.000588823 2.6628e-05
14084.4 -0.000591926 2.36842e-05
14089.4 -0.00059504 2.06863e-05
14094.4 -0.000598161 1.76332e-05
14099.5 -0.000601277 1.45231e-05
14104.5 -0.000604385 1.14175e-05
14109.6 -0.000607556 8.2716e-06
14114.6 -0.000610763 5.06698e-06
14119.7 -0.000614003 1.80173e-06
14124.7 -0.000617273 -1.52585e-06
14129.8 -0.000620577 -4.91748e-06
