W TT
13261.2 -0.000140869
13269.6 -0.000140027
13277.9 -0.000139265
13286.2 -0.000138574
13294.5 -0.000137822
13302.8 -0.000137043
13311.1 -0.00013625
13319.5 -0.000135463
13327.8 -0.000134627
13336.1 -0.000133752
13344.4 -0.000132834
13352.7 -0.000131836
13361.1 -0.000130843
13369.4 -0.000129849
13377.7 -0.000128848
13386 -0.000127844
13394.3 -0.000126824
13402.7 -0.000125784
13411 -0.000124729
13419.3 -0.000123664
13427.6 -0.000122591
13435.9 -0.00012147
13444.3 -0.000120307
13452.6 -0.000119093
13460.9 -0.00011779
13469.2 -0.000116538
13477.5 -0.000115312
13485.9 -0.000114111
13494.2 -0.000112999
13502.5 -0.000111808
13510.8 -0.00011053
13519.1 -0.000109191
13527.5 -0.000107797
13535.8 -0.000106352
13544.1 -0.000104862
13552.4 -0.000103323
13560.7 -0.000101722
13569.1 -0.000100035
13577.4 -9.8402e-05
13585.7 -9.67775e-05
13594 -9.51508e-05
13602.3 -9.35363e-05
13610.6 -9.18628e-05
13619 -9.01197e-05
13627.3 -8.8327e-05
13635.6 -8.64845e-05
13643.9 -8.45966e-05
13652.2 -8.26977e-05
13660.6 -8.07676e-05
13668.9 -7.88017e-05
13677.2 -7.67931e-05
13685.5 -7.47743e-05
13693.8 -7.27327e-05
13702.2 -7.06656e-05
13710.5 -6.85802e-05
13718.8 -6.64286e-05
13727.1 -6.41104e-05
13735.4 -6.17076e-05
13743.8 -5.92243e-05
13752.1 -5.66425e-05
13760.4 -5.41601e-05
13768.7 -5.16658e-05
13777 -4.91395e-05
13785.4 -4.65811e-05
13793.7 -4.39289e-05
13802 -4.10896e-05
13810.3 -3.8163e-05
13818.6 -3.51522e-05
13827 -3.20468e-05
13835.3 -2.90638e-05
13843.6 -2.60835e-05
13851.9 -2.30575e-05
13860.2 -1.99815e-05
13868.6 -1.68247e-05
13876.9 -1.35022e-05
13885.2 -1.01006e-05
13893.5 -6.62197e-06
13901.8 -3.06729e-06
13910.1 6.72511e-07
13918.5 4.57634e-06
13926.8 8.58263e-06
13935.1 1.26916e-05
13943.4 1.6906e-05
13951.7 2.10525e-05
13960.1 2.529e-05
13968.4 2.96245e-05
13976.7 3.40594e-05
13985 3.85818e-05
13993.3 4.31749e-05
14001.7 4.78754e-05
14010 5.26868e-05
14018.3 5.76132e-05
14026.6 6.26954e-05
14034.9 6.79237e-05
14043.3 7.32801e-05
14051.6 7.87689e-05
14059.9 8.43954e-05
14068.2 9.02414e-05
14076.5 9.62417e-05
14084.9 0.000102391
14093.2 0.000108694
14101.5 0.000115119
14109.8 0.000121527
14118.1 0.000128105
14126.5 0.000134855
14134.8 0.000141785
14143.1 0.000149034
14151.4 0.000156686
14159.7 0.000164523
14168.1 0.000172551
14176.4 0.000180767
14184.7 0.000188873
14193 0.00019697
14201.3 0.000205289
14209.7 0.000213826
14218 0.000222579
14226.3 0.000231415
14234.6 0.000240438
14242.9 0.000249699
14251.2 0.000259201
14259.6 0.000268939
14267.9 0.000278726
14276.2 0.000288749
14284.5 0.000299041
14292.8 0.000309608
14301.2 0.000320468
14309.5 0.000331957
14317.8 0.000343712
14326.1 0.000355719
14334.4 0.000367964
14342.8 0.000380364
14351.1 0.000391707
14359.4 0.000403417
14367.7 0.000415424
14376 0.000427711
14384.4 0.000440301
14392.7 0.000453499
14401 0.000466868
14409.3 0.00048039
14417.6 0.000494002
14426 0.00050725
14434.3 0.000517527
14442.6 0.000528256
14450.9 0.000539235
14459.2 0.000550448
14467.6 0.000562356
14475.9 0.000578688
14484.2 0.000594464
14492.5 0.000609845
14500.8 0.000624723
14509.2 0.00063862
14517.5 0.000646115
14525.8 0.000653761
14534.1 0.000661098
14542.4 0.000668003
14550.7 0.000674574
14559.1 0.000684631
14567.4 0.000693478
14575.7 0.00070101
14584 0.000707155
14592.3 0.000711741
14600.7 0.000712651
14609 0.000712015
14617.3 0.000710035
14625.6 0.00070672
14633.9 0.000702311
14642.3 0.000703774
14650.6 0.000705007
14658.9 0.000703849
14667.2 0.000700484
14675.5 0.000694981
14683.9 0.000685604
14692.2 0.000673638
14700.5 0.00066053
14708.8 0.000646428
14717.1 0.000631575
14725.5 0.000617664
14733.8 0.00060502
14742.1 0.000591633
14750.4 0.000577796
14758.7 0.000563702
14767.1 0.00054918
14775.4 0.000533494
14783.7 0.000518287
14792 0.000503533
14800.3 0.000489196
14808.7 0.000475001
14817 0.000455694
14825.3 0.000437577
14833.6 0.000420778
14841.9 0.0004051
14850.2 0.000390427
14858.6 0.000377218
14866.9 0.000364919
14875.2 0.000353152
