W T
14715.2 0.000690815
14720.3 0.000682498
14725.3 0.000675168
14730.4 0.000667887
14735.4 0.000660102
14740.4 0.000651935
14745.5 0.000643457
14750.5 0.000634724
14755.6 0.000625782
14760.6 0.000616656
14765.7 0.000607313
14770.7 0.00059707
14775.8 0.000586963
14780.8 0.000576952
14785.9 0.000567028
14790.9 0.000557188
14796 0.000547419
14801 0.000537688
14806.1 0.000527899
14811.1 0.000516645
14816.1 0.000503913
14821.2 0.000491935
14826.2 0.000480495
14831.3 0.000469511
14836.3 0.000458936
14841.4 0.000448741
14846.4 0.000438902
14851.5 0.000429417
14856.5 0.00042058
14861.6 0.000412087
14866.6 0.000403782
14871.7 0.000395668
14876.7 0.000387738
14881.8 0.000379984
14886.8 0.000372401
14891.9 0.000364984
14896.9 0.000357744
14901.9 0.000350888
14907 0.000344133
14912 0.000337469
14917.1 0.000330902
14922.1 0.000324434
14927.2 0.00031807
14932.2 0.000311816
14937.3 0.000305686
14942.3 0.000299745
14947.4 0.000294354
14952.4 0.000288929
14957.5 0.00028354
14962.5 0.000278208
14967.6 0.000272946
14972.6 0.00026777
14977.6 0.000262697
14982.7 0.000257764
14987.7 0.000253251
14992.8 0.000249358
14997.8 0.000245333
15002.9 0.000241265
15007.9 0.000237182
15013 0.000233099
15018 0.000229024
15023.1 0.000224961
15028.1 0.000220909
15033.2 0.000216785
15038.2 0.00021262
15043.3 0.000208558
15048.3 0.000204581
15053.4 0.000200686
15058.4 0.000196872
15063.4 0.000193138
15068.5 0.000189486
15073.5 0.000185917
15078.6 0.000182457
15083.6 0.000179087
15088.7 0.000175774
15093.7 0.000172523
15098.8 0.000169333
15103.8 0.000166201
15108.9 0.000163122
15113.9 0.000160088
15119 0.000157081
15124 0.000153979
15129.1 0.000150889
15134.1 0.000147943
15139.1 0.000145102
15144.2 0.000142351
15149.2 0.00013968
15154.3 0.00013708
15159.3 0.000134542
15164.4 0.000132053
15169.4 0.000129549
15174.5 0.00012708
15179.5 0.000124721
15184.6 0.000122445
15189.6 0.000120239
15194.7 0.000118095
15199.7 0.000116007
15204.8 0.000113966
15209.8 0.000111962
15214.9 0.000109956
15219.9 0.000107952
15224.9 0.000106056
15230 0.00010423
15235 0.000102464
15240.1 0.000100752
15245.1 9.90881e-05
15250.2 9.74688e-05
15255.2 9.58883e-05
15260.3 9.43356e-05
15265.3 9.27958e-05
15270.4 9.13282e-05
15275.4 8.9914e-05
15280.5 8.85481e-05
15285.5 8.72285e-05
15290.6 8.59544e-05
15295.6 8.47264e-05
15300.6 8.35474e-05
15305.7 8.24283e-05
15310.7 8.14078e-05
15315.8 8.03662e-05
15320.8 7.93293e-05
15325.9 7.83076e-05
15330.9 7.73055e-05
15336 7.63262e-05
15341 7.53728e-05
15346.1 7.44497e-05
15351.1 7.35661e-05
15356.2 7.27669e-05
15361.2 7.1945e-05
15366.3 7.11039e-05
15371.3 7.02603e-05
15376.4 6.94198e-05
15381.4 6.85853e-05
15386.4 6.77583e-05
15391.5 6.69394e-05
15396.5 6.61278e-05
15401.6 6.53171e-05
15406.6 6.45168e-05
15411.7 6.37553e-05
15416.7 6.30197e-05
15421.8 6.23086e-05
15426.8 6.16219e-05
15431.9 6.09609e-05
15436.9 6.03276e-05
15442 5.97264e-05
15447 5.91691e-05
15452.1 5.86833e-05
15457.1 5.81348e-05
15462.1 5.75685e-05
15467.2 5.69974e-05
15472.2 5.64257e-05
15477.3 5.58554e-05
15482.3 5.52867e-05
15487.4 5.47183e-05
15492.4 5.41452e-05
15497.5 5.35384e-05
15502.5 5.29817e-05
15507.6 5.249e-05
15512.6 5.20344e-05
15517.7 5.16094e-05
15522.7 5.12129e-05
15527.8 5.08444e-05
15532.8 5.05054e-05
15537.9 5.01999e-05
15542.9 4.99406e-05
15547.9 4.97491e-05
15553 4.94698e-05
15558 4.91663e-05
15563.1 4.88532e-05
15568.1 4.85356e-05
15573.2 4.82158e-05
15578.2 4.78944e-05
15583.3 4.75708e-05
15588.3 4.72427e-05
15593.4 4.68993e-05
15598.4 4.6568e-05
15603.5 4.62783e-05
15608.5 4.6005e-05
15613.6 4.57434e-05
15618.6 4.54911e-05
15623.6 4.52458e-05
15628.7 4.50055e-05
15633.7 4.47674e-05
15638.8 4.45257e-05
15643.8 4.42606e-05
15648.9 4.40552e-05
15653.9 4.388e-05
15659 4.37232e-05
15664 4.3581e-05
15669.1 4.34515e-05
15674.1 4.33343e-05
15679.2 4.32298e-05
15684.2 4.31406e-05
15689.3 4.30756e-05
15694.3 4.30447e-05
15699.4 4.2938e-05
15704.4 4.28047e-05
15709.4 4.26538e-05
15714.5 4.24879e-05
15719.5 4.23069e-05
15724.6 4.21095e-05
15729.6 4.18926e-05
15734.7 4.16492e-05
15739.7 4.13579e-05
15744.8 4.1048e-05
15749.8 4.0839e-05
15754.9 4.06546e-05
15759.9 4.04822e-05
15765 4.03162e-05
15770 4.01536e-05
15775.1 3.99927e-05
15780.1 3.98328e-05
15785.1 3.96749e-05
15790.2 3.95278e-05
15795.2 3.93682e-05
15800.3 3.9168e-05
15805.3 3.89468e-05
15810.4 3.87066e-05
15815.4 3.84474e-05
15820.5 3.8168e-05
15825.5 3.78664e-05
15830.6 3.75392e-05
15835.6 3.71796e-05
